Region,UTC Date,Buy Price
CN,2015-04-30 22:40:00,68728
CN,2015-04-30 22:59:58,68587
CN,2015-04-30 23:20:00,68417
CN,2015-04-30 23:39:59,68235
CN,2015-05-01 00:00:00,68038
CN,2015-05-01 00:19:59,67771
CN,2015-05-01 00:39:59,67486
CN,2015-05-01 01:00:00,67184
CN,2015-05-01 01:20:00,66774
CN,2015-05-01 01:40:04,66348
CN,2015-05-01 02:00:00,65905
CN,2015-05-01 02:19:59,65340
CN,2015-05-01 02:40:04,64762
CN,2015-05-01 03:00:05,64176
CN,2015-05-01 03:20:05,63534
CN,2015-05-01 03:40:06,62899
CN,2015-05-01 04:00:05,62270
CN,2015-05-01 04:20:04,61647
CN,2015-05-01 04:40:00,61031
CN,2015-05-01 05:00:05,60421
CN,2015-05-01 05:19:59,59817
CN,2015-05-01 05:40:02,59219
CN,2015-05-01 05:59:58,58627
CN,2015-05-01 06:20:05,58041
CN,2015-05-01 06:39:59,57461
CN,2015-05-01 07:00:00,56886
CN,2015-05-01 07:19:59,56317
CN,2015-05-01 07:39:59,55754
CN,2015-05-01 08:00:00,55196
CN,2015-05-01 08:19:59,54644
CN,2015-05-01 08:39:58,54098
CN,2015-05-01 08:59:59,53557
CN,2015-05-01 09:20:00,53021
CN,2015-05-01 09:39:58,52491
CN,2015-05-01 10:00:04,51966
CN,2015-05-01 10:20:00,51607
CN,2015-05-01 10:39:59,51392
CN,2015-05-01 11:00:06,51353
CN,2015-05-01 11:20:06,51582
CN,2015-05-01 11:40:06,52010
CN,2015-05-01 12:00:05,52530
CN,2015-05-01 12:20:04,53055
CN,2015-05-01 12:40:00,53586
CN,2015-05-01 13:00:00,54122
CN,2015-05-01 13:20:04,54663
CN,2015-05-01 13:40:05,55210
CN,2015-05-01 14:00:00,55762
CN,2015-05-01 14:20:01,56319
CN,2015-05-01 14:40:00,56882
CN,2015-05-01 15:00:05,57450
CN,2015-05-01 15:20:05,58024
CN,2015-05-01 15:40:00,58604
CN,2015-05-01 15:59:59,59190
CN,2015-05-01 16:19:59,59781
CN,2015-05-01 16:40:03,60375
CN,2015-05-01 17:00:02,60968
CN,2015-05-01 17:20:01,61560
CN,2015-05-01 17:40:00,62151
CN,2015-05-01 18:00:01,62742
CN,2015-05-01 18:19:59,63332
CN,2015-05-01 18:39:59,63921
CN,2015-05-01 18:59:58,64509
CN,2015-05-01 19:20:00,65099
CN,2015-05-01 19:40:00,65688
CN,2015-05-01 20:00:00,66278
CN,2015-05-01 20:20:05,66867
CN,2015-05-01 20:39:59,67457
CN,2015-05-01 20:59:57,68049
CN,2015-05-01 21:19:58,68642
CN,2015-05-01 21:39:59,69232
CN,2015-05-01 21:59:58,69818
CN,2015-05-01 22:19:58,70399
CN,2015-05-01 22:39:59,70972
CN,2015-05-01 22:59:57,71533
CN,2015-05-01 23:19:59,72072
CN,2015-05-01 23:40:00,72577
CN,2015-05-01 23:59:59,73042
CN,2015-05-02 00:19:59,73458
CN,2015-05-02 00:39:58,73815
CN,2015-05-02 00:59:59,74098
CN,2015-05-02 01:20:04,74278
CN,2015-05-02 01:40:04,74345
CN,2015-05-02 01:59:59,74261
CN,2015-05-02 02:20:02,73940
CN,2015-05-02 02:40:00,73419
CN,2015-05-02 03:00:01,72729
CN,2015-05-02 03:20:04,72002
CN,2015-05-02 03:40:06,71282
CN,2015-05-02 04:00:10,70569
CN,2015-05-02 04:20:06,69863
CN,2015-05-02 04:40:07,69164
CN,2015-05-02 05:02:17,68472
CN,2015-05-02 05:20:05,67787
CN,2015-05-02 05:40:01,67109
CN,2015-05-02 06:00:00,66438
CN,2015-05-02 06:20:02,65774
CN,2015-05-02 06:40:00,65116
CN,2015-05-02 06:59:59,64465
CN,2015-05-02 07:20:00,63820
CN,2015-05-02 07:40:05,63182
CN,2015-05-02 08:00:04,62550
CN,2015-05-02 08:20:10,61925
CN,2015-05-02 08:40:05,61306
CN,2015-05-02 09:00:07,60693
CN,2015-05-02 09:20:01,60086
CN,2015-05-02 09:40:02,59485
CN,2015-05-02 10:00:00,58890
CN,2015-05-02 10:20:00,58301
CN,2015-05-02 10:40:00,57718
CN,2015-05-02 10:59:58,57141
CN,2015-05-02 11:22:12,56570
CN,2015-05-02 11:39:59,56004
CN,2015-05-02 12:00:01,55444
CN,2015-05-02 12:20:05,54890
CN,2015-05-02 12:40:11,54341
CN,2015-05-02 12:59:58,53798
CN,2015-05-02 13:20:12,53260
CN,2015-05-02 13:40:05,52727
CN,2015-05-02 14:00:06,52200
CN,2015-05-02 14:20:08,51857
CN,2015-05-02 14:40:06,51774
CN,2015-05-02 15:00:11,52032
CN,2015-05-02 15:20:06,52552
CN,2015-05-02 15:40:10,53077
CN,2015-05-02 16:00:00,53608
CN,2015-05-02 16:19:58,54144
CN,2015-05-02 16:39:59,54685
CN,2015-05-02 17:00:00,55232
CN,2015-05-02 17:19:59,55784
CN,2015-05-02 17:40:04,56342
CN,2015-05-02 18:02:14,56905
CN,2015-05-02 18:23:06,57474
CN,2015-05-02 18:42:59,58049
CN,2015-05-02 19:02:59,58629
CN,2015-05-02 19:23:00,59215
CN,2015-05-02 19:43:04,59807
CN,2015-05-02 20:02:59,60405
CN,2015-05-02 20:23:00,61008
CN,2015-05-02 20:43:09,61618
CN,2015-05-02 21:02:59,62234
CN,2015-05-02 21:23:00,62856
CN,2015-05-02 21:43:05,63484
CN,2015-05-02 22:02:58,64119
CN,2015-05-02 22:22:59,64760
CN,2015-05-02 22:43:01,65407
CN,2015-05-02 23:03:00,66059
CN,2015-05-02 23:23:00,66717
CN,2015-05-02 23:43:00,67378
CN,2015-05-03 00:02:59,68039
CN,2015-05-03 00:23:00,68695
CN,2015-05-03 00:42:59,69343
CN,2015-05-03 01:02:58,69981
CN,2015-05-03 01:23:05,70597
CN,2015-05-03 01:43:05,71181
